p,len,size
0,1,0
0.01,1.0848,0.08792
0.02,1.17711,0.19168
0.03,1.28919,0.32913
0.04,1.41177,0.49243
0.05,1.55245,0.69444
0.06,1.72248,0.9712
0.07,1.93983,1.36122
0.08,2.19747,1.8844
0.09,2.54486,2.73656
0.1,3.01136,4.12039
0.11,3.70236,6.76175
0.12,4.82521,12.4891
0.13,6.66878,25.68216
0.14,9.30418,53.08547
0.15,12.33707,102.43784
0.16,14.74473,168.86806
0.17,15.78908,237.65116
0.18,16.16158,303.8269
0.19,16.18168,366.48028
0.2,15.93773,425.88083
0.21,15.68676,479.67725
0.22,15.36317,526.46158
0.23,15.07313,570.68131
0.24,14.7007,608.76577
0.25,14.34193,643.30377
0.26,14.07362,679.20218
0.27,13.71246,707.18792
0.28,13.38473,732.74142
0.29,13.12537,758.04742
0.3,12.83272,778.87172
0.31,12.60051,799.9323
0.32,12.28878,814.58094
0.33,12.04711,830.05985
0.34,11.82794,847.96845
0.35,11.62036,860.09697
0.36,11.38191,871.68201
0.37,11.17545,882.67147
0.38,10.97559,893.15414
0.39,10.78426,901.33378
0.4,10.62258,909.67871
0.41,10.43703,916.43056
0.42,10.28851,925.66614
0.43,10.12497,930.31171
0.44,9.97787,936.37019
0.45,9.83018,941.21421
0.46,9.68197,946.57655
0.47,9.55081,949.64868
0.48,9.41965,954.01722
0.49,9.29566,958.76187
0.5,9.17551,961.83183
0.51,9.06287,964.3456
0.52,8.95511,967.0296
0.53,8.8461,970.43992
0.54,8.73965,972.56176
0.55,8.6415,974.465
0.56,8.53786,976.88706
0.57,8.45278,978.71457
0.58,8.36099,980.43906
0.59,8.27615,981.58898
0.6,8.19765,983.19532
0.61,8.11429,984.64939
0.62,8.04594,985.96684
0.63,7.96607,986.85443
0.64,7.8906,987.95982
0.65,7.81861,988.34199
0.66,7.75336,989.94021
0.67,7.67245,990.73025
0.68,7.59763,991.5654
0.69,7.53518,991.59134
0.7,7.46553,992.4472
0.71,7.4024,993.16677
0.72,7.34707,993.78865
0.73,7.3016,993.90744
0.74,7.23864,994.85496
0.75,7.20447,994.9907
0.76,7.15879,995.44053
0.77,7.11825,995.82152
0.78,7.08528,996.48844
0.79,7.03467,996.36799
0.8,6.99224,996.82003
0.81,6.95625,997.01772
0.82,6.91411,997.14119
0.83,6.86121,997.32568
0.84,6.80993,997.5517
0.85,6.76577,997.78434
0.86,6.72178,998.00446
0.87,6.67293,998.2005
0.88,6.61391,998.45637
0.89,6.58067,998.44957
0.9,6.52182,998.53851
0.91,6.46483,998.70018
0.92,6.42746,998.79158
0.93,6.38416,998.92514
0.94,6.35926,999.00628
0.95,6.31302,999.06198
0.96,6.27437,999.14172
0.97,6.24226,999.06231
0.98,6.21288,999.20612
0.99,6.18108,999.43761
