f,acc
0.01,0.49592816500711234
0.02,0.4935165229885057
0.03,0.4918976777939039
0.04,0.4894354838709675
0.05,0.4872275759822093
0.06,0.4869438202247197
0.07,0.4854693414080243
0.08,0.48384850803366475
0.09,0.4830355761794273
0.1,0.4807081377151799
0.11,0.48097705696202525
0.12,0.47821999999999976
0.13,0.4795105177993528
0.14,0.4785106382978725
0.15,0.47781690140845084
0.16,0.4775356244761106
0.17,0.47636132315521634
0.18,0.4760515021459228
0.19,0.47778887923544794
0.2,0.47719190140845086
0.21,0.4767647058823525
0.22,0.478772563176896
0.23,0.47923674588665466
0.24,0.4772937905468025
0.25,0.47983568075117455
0.26,0.47878686964795425
0.27,0.4821986499517839
0.28,0.4793548387096775
0.29,0.48337797619047657
0.3,0.4826961770623741
0.31,0.48418877551020445
0.32,0.4847826086956524
0.33,0.48621848739495777
0.34,0.48696371398078897
0.35,0.4872481040086676
0.36,0.48910341034103444
0.37,0.4911731843575421
0.38,0.4912826333711692
0.39,0.4945034642032333
0.4,0.4937734741784036
0.41,0.49525656324582357
0.42,0.49618932038834956
0.43,0.4987515451174286
0.44,0.5004779874213834
0.45,0.5035531370038414
0.46,0.5051629726205998
0.47,0.5045883134130146
0.48,0.5072222222222224
0.49,0.5102140883977898
0.5,0.5122464788732394
0.51,0.5111853448275863
0.52,0.5142741935483871
0.53,0.5167166416791603
0.54,0.5181010719754977
0.55,0.5193035993740212
0.56,0.5213439999999996
0.57,0.5252782324058919
0.58,0.5292953020134225
0.59,0.5277663230240554
0.6,0.5296830985915492
0.61,0.5292057761732847
0.62,0.533311688311688
0.63,0.5322190476190473
0.64,0.5375440313111538
0.65,0.5404426559356137
0.66,0.5421221532091101
0.67,0.5441132478632482
0.68,0.5455947136563879
0.69,0.5487840909090909
0.7,0.5522417840375587
0.71,0.5528155339805825
0.72,0.5557430730478575
0.73,0.5592428198433421
0.74,0.5597018970189698
0.75,0.5640845070422537
0.76,0.56608504398827
0.77,0.5680521472392637
0.78,0.5700961538461538
0.79,0.5706879194630868
0.8,0.5732394366197183
0.81,0.5764498141263938
0.82,0.5780588235294115
0.83,0.5825933609958506
0.84,0.5792070484581514
0.85,0.5837323943661974
0.86,0.5875505050505068
0.87,0.5904891304347827
0.88,0.5892352941176475
0.89,0.5899999999999999
0.9,0.5892605633802817
0.91,0.5968503937007875
0.92,0.5991150442477879
0.93,0.602575757575759
0.94,0.6069411764705881
0.95,0.6054225352112675
0.96,0.598839285714286
0.97,0.6107142857142862
0.98,0.6139285714285714
0.99,0.6214285714285708
