f,d,n,p
0.01,0.5017466207,0.5009910917,0.5010435225
0.02,0.5066967121,0.503491466,0.5041910227
0.03,0.5109871654,0.5069033541,0.5088996395
0.04,0.5194127168,0.5131496728,0.517322978
0.05,0.5231588172,0.5207901228,0.5298297428
0.06,0.5272997225,0.5281840059,0.5421644473
0.07,0.5328436931,0.5387438431,0.5607626453
0.08,0.5377666546,0.548665898,0.5789594126
0.09,0.5377685479,0.5609369277,0.5978414748
0.1,0.5442849177,0.5726868817,0.6174732336
0.11,0.5404876018,0.5850333336,0.6358731633
0.12,0.5423253251,0.5988180848,0.6546994277
0.13,0.5488920164,0.6126936155,0.6809556176
0.14,0.5457504319,0.6270879192,0.6929457948
0.15,0.5508024116,0.6410881783,0.7128119314
0.16,0.5520733303,0.6570897687,0.7292652309
0.17,0.5554174005,0.6742358055,0.750539989
0.18,0.552717882,0.6848867264,0.7569352
0.19,0.557629566,0.6999880482,0.7781978289
0.2,0.558828693,0.7157031583,0.7902243789
0.21,0.5590113291,0.7298529175,0.8037759906
0.22,0.5604145471,0.7444371551,0.8147554139
0.23,0.5623469057,0.760150896,0.8279366365
0.24,0.5621226816,0.7701445646,0.8330084119
0.25,0.563939768,0.7837334985,0.8494098195
0.26,0.5625434053,0.7935089364,0.8503308958
0.27,0.5609934462,0.8105991718,0.8661808593
0.28,0.563114772,0.8214470755,0.873607874
0.29,0.566168496,0.832120259,0.8814689346
0.3,0.5654466368,0.8392700955,0.8844208346
0.31,0.5649282014,0.8535625384,0.8978431162
0.32,0.5612368303,0.857578887,0.8988957304
0.33,0.5684359875,0.8682045674,0.9073832099
0.34,0.5682848046,0.879244041,0.9126221219
0.35,0.569066405,0.887716531,0.9203365173
0.36,0.5681315786,0.8958188364,0.9220802544
0.37,0.5689465368,0.8990871521,0.9286342622
0.38,0.5697445009,0.912877625,0.9398145494
0.39,0.5666007955,0.9098156466,0.93359925
0.4,0.5695487283,0.9218954529,0.9437256242
0.41,0.5730602786,0.9275469412,0.9463891313
0.42,0.5707141794,0.9301662052,0.9479072286
0.43,0.5692069375,0.9339753792,0.949120592
0.44,0.5720106813,0.939657332,0.9504594179
0.45,0.5753547733,0.9413156321,0.9551537708
0.46,0.5724094759,0.9502984038,0.9605580879
0.47,0.5747121385,0.9541078181,0.9650248772
0.48,0.5768458055,0.9541887435,0.9611599636
0.49,0.5718010538,0.9585408106,0.9652458769
0.5,0.5735636246,0.9610205579,0.9673534596
0.51,0.5720608394,0.9607591385,0.9651413442
0.52,0.5712833285,0.9662733246,0.9715895223
0.53,0.5739395327,0.9707051271,0.9733265806
0.54,0.5701150631,0.9716652038,0.9709609368
0.55,0.5781864255,0.9766946186,0.9787054886
0.56,0.5712623886,0.9776644971,0.9774666922
0.57,0.5742004764,0.9779196357,0.9767600084
0.58,0.5702031593,0.9787178505,0.9794943611
0.59,0.5740912141,0.9811797375,0.9810974776
0.6,0.58167998,0.9837912609,0.9815805667
0.61,0.5717698627,0.982819859,0.9796055173
0.62,0.5823329047,0.9844038393,0.9818074819
0.63,0.5752409814,0.9866643647,0.9835316302
0.64,0.5749906388,0.9872871344,0.9853673461
0.65,0.5837949403,0.9913250784,0.9879824762
0.66,0.5733585328,0.987224266,0.9839507413
0.67,0.5827298774,0.9890341576,0.9850837192
0.68,0.5821773066,0.9912763175,0.9884704674
0.69,0.5682812557,0.9888695614,0.9841553418
0.7,0.5832996233,0.9932511935,0.9885245358
0.71,0.5770839319,0.9941848336,0.9905823209
0.72,0.574235493,0.9943448259,0.9902476523
0.73,0.5827970801,0.9953326739,0.9919440796
0.74,0.5770757748,0.9935990083,0.98982093
0.75,0.5681905247,0.9941019601,0.9892790012
0.76,0.5794061283,0.9954074411,0.9910479356
0.77,0.5717392613,0.9937274836,0.9894419425
0.78,0.5709615067,0.9951267504,0.9903367573
0.79,0.5796768266,0.9957904947,0.992033324
0.8,0.5785458091,0.9988407802,0.9952315662
0.81,0.5906784097,0.9940011098,0.9896843493
0.82,0.5960423679,0.9982234691,0.9943216683
0.83,0.5851582609,0.9958896931,0.9912482664
0.84,0.5901887014,0.9994173671,0.995879693
0.85,0.582806412,0.9961088207,0.9928140796
0.86,0.5945325336,0.998599279,0.9947845877
0.87,0.5853600836,0.9983648467,0.9944303909
0.88,0.6042340453,0.9998536605,0.9964328818
0.89,0.5611365632,0.9963038503,0.9915702009
0.9,0.6126214758,0.9998213272,0.996409102
0.91,0.5893194213,0.9928024572,0.9868997036
0.92,0.5809181406,0.9962113332,0.9913624591
0.93,0.5467617364,0.9998991271,0.9963613434
0.94,0.6404359542,0.9998934884,0.9963561696
0.95,0.6304335182,0.999899513,0.9963484088
0.96,0.6196443038,0.9999618832,0.996342638
0.97,0.5277854262,0.9999816156,0.9963348772
0.98,0.5262322342,0.99999821,0.996344231
0.99,0.5128371992,0.99999856,0.999712312
